,ProductName,ProductPrice,ProductDiscount
240,X-Ray Speed Casuals For Men,"₹6,999","₹3,849"
241,Bazin Running Shoes For Men,"₹3,999","₹1,999"
242,Disperse XT 3 Knit Training & Gym Shoes For Men,"₹5,999","₹3,003"
243,X-Ray 3 Casuals For Men,"₹7,999","₹4,399"
244,Voltaic Evo Running Shoes For Men,"₹7,999","₹4,399"
245,BMW MMS Suede T Casuals For Men,"₹9,999","₹5,499"
246,Puma Onehill Sneakers For Men,"₹4,299","₹2,088"
247,Puma level IDP Sneakers For Men,"₹4,299","₹2,004"
248,R78 Casuals For Men,"₹5,999","₹3,299"
249,UP Casuals For Men,"₹3,999","₹2,199"
250,Disperse XT 3 Knit Training & Gym Shoes For Men,"₹5,999","₹3,599"
251,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,960"
252,Disperse XT 3 Hyperwave Training & Gym Shoes For Men,"₹5,999","₹3,599"
253,Puma Alfarun Sneakers For Men,"₹4,999","₹2,499"
254,Puma Rock V1 Sneakers For Men,"₹5,499","₹3,299"
255,X-Ray Speed Casuals For Men,"₹6,999","₹3,849"
256,Explore Nitro Running Shoes For Men,"₹10,999","₹7,149"
257,Lite Pro v2 Casuals For Men,"₹3,999","₹1,799"
258,Scorch Runner V2 Sneakers For Men,"₹4,999","₹2,499"
259,Caven 2.0 Mid Sneakers For Men,"₹6,999","₹4,199"
260,PUMA R78 SL Sneakers For Men,"₹4,999","₹2,999"
261,Puma Exotine 2.0 IDP Running Shoes For Men,"₹6,499","₹4,999"
262,Caven 2.0 Lux Casuals For Men,"₹4,499","₹3,574"
263,Robust V2 Sneakers For Men,"₹2,799","₹1,659"
264,ST Activate Walking Shoes For Men,"₹4,499","₹1,619"
265,Puma Buzz Casuals For Men,"₹3,999","₹2,699"
266,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,947"
267,Zod Runner V3 IDP Casuals For Men,"₹4,999","₹2,399"
268,Anzarun Camo Sneakers For Men,"₹9,999","₹2,449"
269,CA Pro Classic Podium Casuals For Men,"₹4,499","₹5,499"
270,Exotine 2.0 Running Shoes For Men,"₹4,999","₹4,999"
271,Liberate Nitro 2 Running Shoes For Men,"₹3,999","₹10,999"
272,Puma Tread Run Sneakers For Men,"₹5,499","₹2,699"
273,Anzarun Camo Sneakers For Men,"₹7,999","₹2,749"
274,Bazin Running Shoes For Men,"₹11,999","₹2,199"
275,ST Runner v3 L Sneakers For Men,"₹5,499","₹2,678"
276,X-Ray 3 Casuals For Men,"₹6,999","₹4,399"
277,PUMA Spike 22.1 Cricket Shoes For Men,NA,"₹5,640"
278,Disperse XT Men's Training & Gym Shoes For Men,NA,"₹3,024"
279,Softride Enzo Evo Better Remix Walking Shoes For Men,NA,"₹3,849"
280,X-Ray Speed Casuals For Men,"₹6,999","₹3,849"
281,Bazin Running Shoes For Men,"₹3,999","₹1,999"
282,Extend Lite Trail Running Shoes For Men,"₹5,999","₹3,299"
283,Spike 22.2 Casuals For Men,"₹7,499","₹4,385"
284,Hustle V2 Running Shoes For Men,"₹3,999","₹1,199"
285,Puma Alfarun Hyperwave Sneakers For Men,"₹3,999","₹2,399"
286,Puma Onehill Sneakers For Men,"₹4,299","₹2,088"
287,Puma level IDP Sneakers For Men,"₹4,299","₹2,004"
288,Puma Caven 2.0 Sneakers For Men,"₹5,999","₹3,599"
289,Puma Flyumph Sneakers For Men,"₹3,999","₹2,199"
290,Disperse XT 3 Knit Training & Gym Shoes For Men,"₹5,999","₹3,599"
291,Puma Grypease IDP Walking Shoes For Men,"₹3,999","₹1,960"
292,CA Pro Classic Contour Casuals For Men,"₹7,999","₹4,399"
293,Smash V2 L Sneakers For Men,"₹4,999","₹2,749"
294,Puma Rebound Future NextGen Sneakers For Men,"₹7,999","₹4,399"
295,Scorch Runner V2 Sneakers For Men,"₹4,999","₹1,849"
296,Explore Nitro Running Shoes For Men,"₹10,999","₹7,149"
297,Lite Pro v2 Casuals For Men,"₹3,999","₹1,799"
298,Skyrocket Lite Alt Running Shoes For Men,"₹4,999","₹2,749"
299,Mercedes-AMGSuede T Casuals For Men,"₹9,999","₹5,499"
300,PUMA R78 SL Sneakers For Men,"₹4,999","₹2,999"
301,Puma Exotine 2.0 IDP Running Shoes For Men,"₹4,499","₹4,999"
