,ProductName,ProductPrice,ProductDiscount
345,STREETWISE Sneakers For Men,"₹3,599","₹3,255"
346,Fluento M Running Shoes For Men,"₹5,599","₹1,389"
347,Dash-Sprint Running Shoes For Men,"₹2,999","₹3,359"
348,StreetAhead M Casuals For Men,"₹3,299","₹1,259"
349,Hellion Z M Running Shoes For Men,"₹2,699","₹1,979"
350,Lucifo M Slip On Sneakers For Men,"₹3,599","₹1,047"
351,ARTEM Running Shoes For Men,"₹5,999","₹2,159"
352,RunIN tech M Running Shoes For Men,"₹7,599","₹3,359"
353,RACER TR23 Running Shoes For Men,"₹6,599","₹4,559"
354,GRAND COURT BASE 3.0 M Sneakers For Men,"₹2,999","₹3,959"
355,StreetAhead M Casuals For Men,"₹6,999","₹1,259"
356,RUNFALCON 3.0 TR Running Shoes For Men,"₹4,799","₹3,673"
357,VolantRun M Running Shoes For Men,"₹3,799","₹2,687"
358,AstoundRun M Running Shoes For Men,"₹5,599","₹2,279"
359,Dash-Sprint M Running Shoes For Men,NA,"₹3,135"
360,ZAPID Running Shoes For Men,"₹4,299","₹2,579"
361,EvolveRun M Running Shoes For Men,"₹5,999","₹2,865"
362,Dash-Sprint M Running Shoes For Men,"₹5,599","₹3,135"
363,Axelate M Walking Shoes For Men,"₹4,799","₹2,879"
364,Cush-App Walking Shoes For Men,"₹3,299","₹1,979"
365,Tranquilo M Running Shoes For Men,"₹5,999","₹3,599"
366,AstoundRun M Running Shoes For Men,"₹3,799","₹2,279"
367,VolantRun M Running Shoes For Men,"₹4,799","₹2,879"
368,GlintRun M Running Shoes For Men,"₹4,599","₹2,476"
369,EVERYSET TRAINER Training & Gym Shoes For Men,"₹7,599","₹4,147"
370,Runesy M Running Shoes For Men,"₹4,299","₹2,407"
371,ADIDAS SWITCH MOVE U Running Shoes For Men,"₹5,999","₹3,638"
372,HIKE LACER Hiking & Trekking Shoes For Men,"₹4,799","₹2,879"
373,LeagueOne ST M Running Shoes For Men,"₹6,999","₹3,919"
374,Adi-Acme M Running Shoes For Men,"₹4,599","₹2,575"
375,CriNu Cricket Shoes For Men,"₹4,799","₹2,879"
376,RESPONSE RUNNER U Running Shoes For Men,"₹5,599","₹3,359"
377,Dash-It Running Shoes For Men,"₹5,299","₹2,967"
378,rapide run M Running Shoes For Men,"₹5,299","₹3,179"
379,Amalgo M Running Shoes For Men,"₹4,599","₹2,300"
380,Plodar M Running Shoes For Men,"₹3,299","₹1,979"
381,Adilaska M Running Shoes For Men,"₹4,999","₹2,599"
382,LightRun lit Running Shoes For Men,"₹5,999","₹3,299"
383,Peprun M Running Shoes For Men,"₹3,599","₹1,830"
384,HEAWYN Walking Shoes For Men,"₹9,999","₹5,707"
385,streetgaze ms Running Shoes For Men,"₹4,999","₹2,583"
386,ADIDAS SWITCH MOVE U Running Shoes For Men,"₹5,999","₹3,659"
387,SleetWalk M Walking Shoes For Men,"₹4,999","₹2,999"
388,LITE RACER 3.0 Casuals For Men,"₹4,999","₹2,690"
389,trosten walk M Walking Shoes For Men,"₹4,599","₹2,322"
390,WideWalk M Walking Shoes For Men,"₹3,999","₹2,399"
391,CORERACER Running Shoes For Men,"₹5,599","₹3,075"
392,Cricup 23 Cricket Shoes For Men,"₹4,799","₹2,639"
393,INDOOR SMOL Walking Shoes For Men,"₹4,299","₹2,579"
394,AVRYN Casuals For Men,"₹13,999","₹7,521"
395,ULTRABOUNCE Running Shoes For Men,"₹7,999","₹4,799"
396,AstoundRun M Running Shoes For Men,"₹4,299","₹2,579"
397,RACER TR23 Running Shoes For Men,"₹7,599","₹4,255"
398,RUN 70s Running Shoes For Men,"₹6,999","₹4,199"
399,Base-Strike Running Shoes For Men,"₹3,599","₹2,159"
400,Comfrt Walk Walking Shoes For Men,"₹4,599","₹2,759"
401,Run Steady M Running Shoes For Men,"₹5,599","₹3,359"
402,Base-Strike Running Shoes For Men,"₹3,599","₹2,159"
403,ZapCore Running Shoes For Men,"₹4,799","₹2,879"
404,Dash-It Running Shoes For Men,"₹5,299","₹3,179"
405,GRAND COURT 3.0 M Sneakers For Men,"₹7,999","₹4,351"
406,RUNFALCON 2.0 Running Shoes For Men,"₹6,599","₹3,629"
407,FLUIDFLOW 3.0 Running Shoes For Men,"₹8,599","₹4,504"
408,Track-One Running Shoes For Men,"₹5,299","₹3,179"
409,AlphaBounce + Running Shoes For Men,"₹8,999","₹5,399"
410,RACER TR23 Running Shoes For Men,"₹7,599","₹4,559"
411,Terrex Soulstride R.RDY Running Shoes For Men,"₹11,999","₹7,199"
412,Avryn Running Shoes For Men,"₹13,999","₹7,494"
413,ONYXD Running Shoes For Men,"₹3,799","₹2,270"
414,RESILO Ms Running Shoes For Men,"₹6,599","₹3,959"
415,Adidash M Running Shoes For Men,"₹5,299","₹2,967"
