ProductName,ProductPrice,ProductDiscount,Brand,Gender
Genetics Speckle Basketball Shoes For Men,9999,5499,Puma,Men
Suede Classic XXI Sneakers For Men,5999,3299,Puma,Men
Radcliff VI Sports Running Shoes For Men,4499,2589,Puma,Men
Puma Vellfire Sneakers For Men,4499,2159,Puma,Men
Pint Casuals For Men,4299,2579,Puma,Men
Puma Jitter Sneakers For Men,4999,2340,Puma,Men
Flyer Lite Running Shoes For Men,4999,2749,Puma,Men
Flyer Flex Walking Shoes For Men,3999,2999,Puma,Men
BMW MMS Drift Cat Delta Sneakers For Men,7999,4799,Puma,Men
Court Shatter Low Sneakers For Men,5999,3179,Puma,Men
Enzo 2 Revamp Running Shoes For Men,5499,3299,Puma,Men
Flex Fire V1 IDP Running Shoes For Men,3999,2364,Puma,Men
Puma Alfarun Hyperwave Sneakers For Men,4499,2399,Puma,Men
Flexrate Casuals For Men,6999,1569,Puma,Men
NOVA Smash Tennis Shoes For Men,3999,3849,Puma,Men
Puma Grypease IDP Walking Shoes For Men,5999,1947,Puma,Men
Suede Classic XXI Sneakers For Men,7999,3299,Puma,Men
Dynamite Slip-on Sneakers For Men,6999,2399,Puma,Men
Liberate Nitro 2 Running Shoes For Men,9999,10999,Puma,Men
X-Ray Speed Lite Casuals For Men,9999,3849,Puma,Men
BMW MMS Suede T Casuals For Men,11999,5499,Puma,Men
Graviton Casuals For Men,7999,3574,Puma,Men
Slitream Xtreme Cordura Sneakers For Men,3999,5499,Puma,Men
Puma Cardif Slip on IDP Walking Shoes For Men,2172,2172,Puma,Men
Duke Sneakers For Men,1799,1799,Puma,Men
Desierto v3 Puretex Casuals For Men,11999,6599,Puma,Men
Rickie Sneakers For Men,5499,3024,Puma,Men
Mercedes-AMG Petronas F1 Caven 2.0 Casuals For Men,6999,3849,Puma,Men
Puma X-Ray Declan One8 Sneakers For Men,4999,2599,Puma,Men
Flamecrest Slipon Sneakers For Men,2999,1649,Puma,Men
Puma Fire V2 Walking Shoes For Men,4299,1849,Puma,Men
Rapid Runner IDP Walking Shoes For Men,3999,2079,Puma,Men
Obstruct Pro Mid WTR Outdoors For Men,10999,6049,Puma,Men
PUMA Flex Addict Sneakers For Men,4299,2235,Puma,Men
Ferrari Mirage Sport Tech Camo Sneakers For Men,11999,7199,Puma,Men
Supernal NU 2 IDP Running Shoes For Men,2999,1379,Puma,Men
Puma Walter Running Shoes For Men,5999,2699,Puma,Men
Supertec zero Sneakers For Men,8999,3299,Puma,Men
BMW MMS Trinity Walking Shoes For Men,3999,4499,Puma,Men
Rebound Future EVO Core Sneakers For Men,7999,3899,Puma,Men
Puma Pwrflow Slipon Running Shoes For Men,4299,2199,Puma,Men
Jigsaw Walking Shoes For Men,3999,2364,Puma,Men
ST Runner v4 L Casuals For Men,11999,3024,Puma,Men
